Identifier,Source String,Context,Translation
ChannelSelectionList.noChannelsFound,No channels found,"
-- CONTEXT --
",
ChannelSelectionList.searchText,Search for a channel,"
-- CONTEXT --
",
ChannelSetItem.cancel,Cancel,"
-- CONTEXT --
",
ChannelSetItem.delete,Delete collection,"
-- CONTEXT --
",
ChannelSetItem.deleteChannelSetText,Are you sure you want to delete this collection?,"
-- CONTEXT --
",
ChannelSetItem.deleteChannelSetTitle,Delete collection,"
-- CONTEXT --
",
ChannelSetItem.edit,Edit collection,"
-- CONTEXT --
",
ChannelSetItem.options,Options,"
-- CONTEXT --
",
ChannelSetItem.saving,Saving,"
-- CONTEXT --
",
ChannelSetList.aboutChannelSets,About collections,"
-- CONTEXT --
",
ChannelSetList.aboutChannelSetsLink,Learn about collections,"
-- CONTEXT --
",
ChannelSetList.addChannelSetTitle,New collection,"
-- CONTEXT --
",
ChannelSetList.cancelButtonLabel,Close,"
-- CONTEXT --
",
ChannelSetList.channelNumber,Number of channels,"
-- CONTEXT --
",
ChannelSetList.channelSetsDescriptionText,A collection contains multiple Kolibri Studio channels that can be imported at one time to Kolibri with a single collection token.,"
-- CONTEXT --
",
ChannelSetList.channelSetsDisclaimer,You will need Kolibri version 0.12.0 or higher to import channel collections,"
-- CONTEXT --
",
ChannelSetList.channelSetsInstructionsText,You can make a collection by selecting the channels you want to be imported together.,"
-- CONTEXT --
",
ChannelSetList.noChannelSetsFound,You can package together multiple channels to create a collection. The entire collection can then be imported to Kolibri at once by using a collection token.,"
-- CONTEXT --
",
ChannelSetList.options,Options,"
-- CONTEXT --
",
ChannelSetList.title,Collection name,"
-- CONTEXT --
",
ChannelSetList.token,Token ID,"
-- CONTEXT --
",
ChannelSetModal.bookmark,Starred,"
-- CONTEXT --
",
ChannelSetModal.channelAdded,Channel added,"
-- CONTEXT --
",
ChannelSetModal.channelCountText,"{channelCount, plural, =0 {No published channels in your collection} =1 {# channel} other {# channels}}","
-- CONTEXT --
",
ChannelSetModal.channelRemoved,Channel removed,"
-- CONTEXT --
",
ChannelSetModal.channelSelectedCountText,"{channelCount, plural, =1 {# channel selected} other {# channels selected}}","
-- CONTEXT --
",
ChannelSetModal.channels,Collection channels,"
-- CONTEXT --
",
ChannelSetModal.closeButton,Exit without saving,"
-- CONTEXT --
",
ChannelSetModal.collectionErrorText,This collection does not exist,"
-- CONTEXT --
",
ChannelSetModal.createButton,Create,"
-- CONTEXT --
",
ChannelSetModal.creatingChannelSet,New collection,"
-- CONTEXT --
",
ChannelSetModal.edit,My Channels,"
-- CONTEXT --
",
ChannelSetModal.finish,Finish,"
-- CONTEXT --
",
ChannelSetModal.public,Public,"
-- CONTEXT --
",
ChannelSetModal.publishedChannelsOnlyText,Only published channels are available for selection,"
-- CONTEXT --
",
ChannelSetModal.removeText,Remove,"
-- CONTEXT --
",
ChannelSetModal.saveButton,Save and close,"
-- CONTEXT --
",
ChannelSetModal.selectChannelsHeader,Select channels,"
-- CONTEXT --
",
ChannelSetModal.titleLabel,Collection name,"
-- CONTEXT --
",
ChannelSetModal.titleRequiredText,Field is required,"
-- CONTEXT --
",
ChannelSetModal.token,Collection token,"
-- CONTEXT --
",
ChannelSetModal.tokenPrompt,Copy this token into Kolibri to import this collection onto your device.,"
-- CONTEXT --
",
ChannelSetModal.unsavedChangesHeader,Unsaved changes,"
-- CONTEXT --
",
ChannelSetModal.unsavedChangesText,You will lose any unsaved changes. Are you sure you want to exit?,"
-- CONTEXT --
",
ChannelSetModal.view,View-Only,"
-- CONTEXT --
",
ChannelSharing.alreadyHasAccessError,User already has access to this channel,"
-- CONTEXT --
",
ChannelSharing.alreadyInvitedError,User already invited,"
-- CONTEXT --
",
ChannelSharing.canEdit,Can edit,"
-- CONTEXT --
",
ChannelSharing.canView,Can view,"
-- CONTEXT --
",
ChannelSharing.emailLabel,Email,"
-- CONTEXT --
",
ChannelSharing.emailRequiredMessage,Email is required,"
-- CONTEXT --
",
ChannelSharing.invitationFailedError,Invitation failed to send. Please try again,"
-- CONTEXT --
",
ChannelSharing.invitationSentMessage,Invitation sent,"
-- CONTEXT --
",
ChannelSharing.inviteButton,Send invitation,"
-- CONTEXT --
",
ChannelSharing.inviteSubheading,Invite collaborators,"
-- CONTEXT --
",
ChannelSharing.validEmailMessage,Please enter a valid email,"
-- CONTEXT --
",
ChannelSharingTable.cancelButton,Cancel,"
-- CONTEXT --
",
ChannelSharingTable.currentUserText,{first_name} {last_name} (you),"
-- CONTEXT --
",
ChannelSharingTable.deleteInvitation,Delete invitation,"
-- CONTEXT --
",
ChannelSharingTable.deleteInvitationConfirm,Delete invitation,"
-- CONTEXT --
",
ChannelSharingTable.deleteInvitationHeader,Delete invitation,"
-- CONTEXT --
",
ChannelSharingTable.deleteInvitationText,Are you sure you would like to delete the invitation for {email}?,"
-- CONTEXT --
",
ChannelSharingTable.editPermissionsGrantedMessage,Edit permissions granted,"
-- CONTEXT --
",
ChannelSharingTable.editorsSubheading,"{count, plural,
 =1 {# user who can edit}
 other {# users who can edit}}","
-- CONTEXT --
",
ChannelSharingTable.guestText,Guest,"
-- CONTEXT --
",
ChannelSharingTable.invitationDeletedMessage,Invitation deleted,"
-- CONTEXT --
",
ChannelSharingTable.invitationFailedError,Invitation failed to resend. Please try again,"
-- CONTEXT --
",
ChannelSharingTable.invitationSentMessage,Invitation sent,"
-- CONTEXT --
",
ChannelSharingTable.invitePendingText,Invite pending,"
-- CONTEXT --
",
ChannelSharingTable.makeEditor,Grant edit permissions,"
-- CONTEXT --
",
ChannelSharingTable.makeEditorConfirm,"Yes, grant permissions","
-- CONTEXT --
",
ChannelSharingTable.makeEditorHeader,Grant edit permissions,"
-- CONTEXT --
",
ChannelSharingTable.makeEditorText,Are you sure you would like to grant edit permissions to {first_name} {last_name}?,"
-- CONTEXT --
",
ChannelSharingTable.noUsersText,No users found,"
-- CONTEXT --
",
ChannelSharingTable.optionsDropdown,Options,"
-- CONTEXT --
",
ChannelSharingTable.removeViewer,Revoke view permissions,"
-- CONTEXT --
",
ChannelSharingTable.removeViewerConfirm,"Yes, revoke","
-- CONTEXT --
",
ChannelSharingTable.removeViewerHeader,Revoke view permissions,"
-- CONTEXT --
",
ChannelSharingTable.removeViewerText,Are you sure you would like to revoke view permissions for {first_name} {last_name}?,"
-- CONTEXT --
",
ChannelSharingTable.resendInvitation,Resend invitation,"
-- CONTEXT --
",
ChannelSharingTable.userRemovedMessage,User removed,"
-- CONTEXT --
",
ChannelSharingTable.viewersSubheading,"{count, plural,
 =1 {# user who can view}
 other {# users who can view}}","
-- CONTEXT --
",
ChannelStar.star,Add to starred channels,"
-- CONTEXT --
",
ChannelStar.starred,Added to starred channels,"
-- CONTEXT --
",
ChannelStar.unstar,Remove from starred channels,"
-- CONTEXT --
",
ChannelStar.unstarred,Removed from starred channels,"
-- CONTEXT --
",
ChannelThumbnail.cancel,Cancel,"
-- CONTEXT --
",
ChannelThumbnail.crop,Crop,"
-- CONTEXT --
",
ChannelThumbnail.croppingPrompt,Drag image to reframe,"
-- CONTEXT --
",
ChannelThumbnail.defaultFilename,File,"
-- CONTEXT --
",
ChannelThumbnail.noThumbnail,No thumbnail,"
-- CONTEXT --
",
ChannelThumbnail.remove,Remove,"
-- CONTEXT --
",
ChannelThumbnail.retryUpload,Retry upload,"
-- CONTEXT --
",
ChannelThumbnail.save,Save,"
-- CONTEXT --
",
ChannelThumbnail.upload,Upload image,"
-- CONTEXT --
",
ChannelThumbnail.uploadFailed,Upload failed,"
-- CONTEXT --
",
ChannelThumbnail.uploadingThumbnail,Uploading,"
-- CONTEXT --
",
ChannelThumbnail.zoomIn,Zoom in,"
-- CONTEXT --
",
ChannelThumbnail.zoomOut,Zoom out,"
-- CONTEXT --
",
ChannelTokenModal.close,Close,"
-- CONTEXT --
",
ChannelTokenModal.copyTitle,Copy channel token,"
-- CONTEXT --
",
ChannelTokenModal.copyTokenInstructions,Paste this token into Kolibri to import this channel,"
-- CONTEXT --
",
Clipboard.backToClipboard,Clipboard,"
-- CONTEXT --
",
Clipboard.close,Close,"
-- CONTEXT --
",
Clipboard.copiedItemsToClipboard,Copied in clipboard,"
-- CONTEXT --
",
Clipboard.deleteSelectedButton,Delete,"
-- CONTEXT --
",
Clipboard.duplicateSelectedButton,Make a copy,"
-- CONTEXT --
",
Clipboard.emptyDefaultText,Use the clipboard to copy resources and move them to other folders and channels,"
-- CONTEXT --
",
Clipboard.emptyDefaultTitle,No resources in your clipboard,"
-- CONTEXT --
",
Clipboard.moveSelectedButton,Move,"
-- CONTEXT --
",
Clipboard.removedFromClipboard,Deleted from clipboard,"
-- CONTEXT --
",
Clipboard.selectAll,Select all,"
-- CONTEXT --
",
CommonMetadataStrings.accessibility,Accessibility,"
-- CONTEXT --
Allows the user to filter for all the resources with accessibility features for learners with disabilities.",
CommonMetadataStrings.algebra,Algebra,"
-- CONTEXT --
A type of math category. See https://en.wikipedia.org/wiki/Algebra",
CommonMetadataStrings.all,All,"
-- CONTEXT --
A label for everything in the group of activities.",
CommonMetadataStrings.allContent,Viewed in its entirety,"
-- CONTEXT --
One of the completion criteria types. A resource with this criteria is considered complete when learners studied it all, for example they saw all pages of a document.",
CommonMetadataStrings.allLevelsBasicSkills,All levels -- basic skills,"
-- CONTEXT --
Refers to a type of educational level.",
CommonMetadataStrings.allLevelsWorkSkills,All levels -- work skills,"
-- CONTEXT --
Refers to a type of educational level.",
CommonMetadataStrings.altText,Includes alternative text descriptions for images,"
-- CONTEXT --
Alternative text, or alt text, is a written substitute for an image. It is used to describe information being provided by an image, graph, or any other visual element on a web page. It provides information about the context and function of an image for people with varying degrees of visual and cognitive impairments. When a screen reader encounters an image, it will read aloud the alternative text.
https://www.med.unc.edu/webguide/accessibility/alt-text/",
CommonMetadataStrings.anthropology,Anthropology,"
-- CONTEXT --
Category type. See https://en.wikipedia.org/wiki/Anthropology",
CommonMetadataStrings.arithmetic,Arithmetic,"
-- CONTEXT --
Math category type. See https://en.wikipedia.org/wiki/Arithmetic",
CommonMetadataStrings.arts,Arts,"
-- CONTEXT --
Refers to a category group type. See https://en.wikipedia.org/wiki/The_arts",
CommonMetadataStrings.astronomy,Astronomy,"
-- CONTEXT --
Science category type. See https://en.wikipedia.org/wiki/Astronomy",
CommonMetadataStrings.audioDescription,Includes audio descriptions,"
-- CONTEXT --
Content has narration used to provide information surrounding key visual elements for the benefit of blind and visually impaired users.
https://en.wikipedia.org/wiki/Audio_description",
CommonMetadataStrings.basicSkills,Basic skills,"
-- CONTEXT --
Category type. Basic skills refer to learning resources focused on aspects like literacy, numeracy and digital literacy.",
CommonMetadataStrings.biology,Biology,"
-- CONTEXT --
Science category type. See https://en.wikipedia.org/wiki/Biology",
CommonMetadataStrings.browseChannel,Browse channel,"
-- CONTEXT --
Heading on page where a user can browse the content within a channel",
CommonMetadataStrings.calculus,Calculus,"
-- CONTEXT --
Math category type. https://en.wikipedia.org/wiki/Calculus",
CommonMetadataStrings.captionsSubtitles,Includes captions or subtitles,"
-- CONTEXT --
Accessibility filter to search for video and audio resources that have text captions for users who are deaf or hard of hearing.
https://www.w3.org/WAI/media/av/captions/",
CommonMetadataStrings.category,Category,"
-- CONTEXT --
A title for the metadata that explains the subject matter of an activity",
CommonMetadataStrings.chemistry,Chemistry,"
-- CONTEXT --
Science category type. See https://en.wikipedia.org/wiki/Chemistry",
CommonMetadataStrings.civicEducation,Civic education,"
-- CONTEXT --
Category type. Civic education is the study of the rights and obligations of citizens in society. See https://en.wikipedia.org/wiki/Civics",
CommonMetadataStrings.completeDuration,When time spent is equal to duration,"
-- CONTEXT --
One of the completion criteria types. A resource with this criteria is considered complete when learners spent given time studying it.",
CommonMetadataStrings.completion,Completion,"
-- CONTEXT --
A title for the metadata that explains when an activity is finished",
CommonMetadataStrings.computerScience,Computer science,"
-- CONTEXT --
Category type. See https://en.wikipedia.org/wiki/Computer_science",
CommonMetadataStrings.create,Create,"
-- CONTEXT --
Resource and filter label for the type of learning activity. Translate as a VERB",
CommonMetadataStrings.currentEvents,Current events,"
-- CONTEXT --
Category type. Could also be translated as 'News'. See https://en.wikipedia.org/wiki/News",
CommonMetadataStrings.dailyLife,Daily life,"
-- CONTEXT --
Category type. See https://en.wikipedia.org/wiki/Everyday_life",
CommonMetadataStrings.dance,Dance,"
-- CONTEXT --
Category type. See https://en.wikipedia.org/wiki/Dance",
CommonMetadataStrings.determinedByResource,Determined by the resource,"
-- CONTEXT --
One of the completion criteria types. Typically used for embedded html5/h5p resources that contain their own completion criteria, for example reaching a score in an educational game.",
CommonMetadataStrings.digitalLiteracy,Digital literacy,"
-- CONTEXT --
Category type. See https://en.wikipedia.org/wiki/Digital_literacy",
CommonMetadataStrings.diversity,Diversity,"
-- CONTEXT --
Category type. See https://en.wikipedia.org/wiki/Diversity_(politics)",
CommonMetadataStrings.drama,Drama,"
-- CONTEXT --
Category type. See https://en.wikipedia.org/wiki/Drama",
CommonMetadataStrings.duration,Duration,"
-- CONTEXT --
A title for the metadata that explains how long an activity will take",
CommonMetadataStrings.earthScience,Earth science,"
-- CONTEXT --
Category type. See https://en.wikipedia.org/wiki/Earth_science",
CommonMetadataStrings.entrepreneurship,Entrepreneurship,"
-- CONTEXT --
Category type. See https://en.wikipedia.org/wiki/Entrepreneurship",
CommonMetadataStrings.environment,Environment,"
-- CONTEXT --
Category type. See https://en.wikipedia.org/wiki/Environmental_studies",
CommonMetadataStrings.exactTime,Time to complete,"
-- CONTEXT --
One of the completion criteria types. A subset of ""When time spent is equal to duration"". For example, for an audio resource with this criteria, learnes need to hear the whole length of audio for the resource to be considered complete.",
CommonMetadataStrings.explore,Explore,"
-- CONTEXT --
Resource and filter label for the type of learning activity. Translate as a VERB",
CommonMetadataStrings.financialLiteracy,Financial literacy,"
-- CONTEXT --
Category type. See https://en.wikipedia.org/wiki/Financial_literacy",
CommonMetadataStrings.forBeginners,For beginners,"
-- CONTEXT --
Filter option and a label for the resources in the Kolibri Library.",
CommonMetadataStrings.forTeachers,For teachers,"
-- CONTEXT --
Category type",
CommonMetadataStrings.geometry,Geometry,"
-- CONTEXT --
Category type.",
CommonMetadataStrings.goal,When goal is met,"
-- CONTEXT --
One of the completion criteria types specific to exercises. An exercise with this criteria is considered complete when learners reached a given goal, for example 100% correct.",
CommonMetadataStrings.guides,Guides,"
-- CONTEXT --
Category label in the Kolibri resources library; refers to any guide-type material for teacher professional development.",
CommonMetadataStrings.highContrast,Includes high contrast text for learners with low vision,"
-- CONTEXT --
Accessibility filter used to search for resources that have high contrast color themes for users with low vision ('display' refers to digital content, not the hardware like screens or monitors).
https://veroniiiica.com/2019/10/25/high-contrast-color-schemes-low-vision/",
CommonMetadataStrings.history,History,"
-- CONTEXT --
Category type.",
CommonMetadataStrings.industryAndSectorSpecific,Industry and sector specific,"
-- CONTEXT --
Subcategory type for technical and vocational training.",
CommonMetadataStrings.languageLearning,Language learning,"
-- CONTEXT --
Category type.",
CommonMetadataStrings.learningActivity,Learning Activity,"
-- CONTEXT --
A title for the category of education material interaction, i.e. watch, read, listen",
CommonMetadataStrings.learningSkills,Learning skills,"
-- CONTEXT --
A category label and type of basic skill.
https://en.wikipedia.org/wiki/Study_skills",
CommonMetadataStrings.lessonPlans,Lesson plans,"
-- CONTEXT --
Category label in the Kolibri resources library; refers to lesson planning materials for teachers.",
CommonMetadataStrings.level,Level,"
-- CONTEXT --
Refers to the educational learning level, such a preschool, primary, secondary, etc.",
CommonMetadataStrings.listen,Listen,"
-- CONTEXT --
Resource and filter label for the type of learning activity with audio. Translate as a VERB",
CommonMetadataStrings.literacy,Literacy,"
-- CONTEXT --
Category type. See https://en.wikipedia.org/wiki/Literacy",
CommonMetadataStrings.literature,Literature,"
-- CONTEXT --
Category type. See https://en.wikipedia.org/wiki/Literature",
CommonMetadataStrings.logicAndCriticalThinking,Logic and critical thinking,"
-- CONTEXT --
Category type. See https://en.wikipedia.org/wiki/Critical_thinking",
CommonMetadataStrings.longActivity,Long activity,"
-- CONTEXT --
Label with time estimation for learning activities that take more than 30 minutes.",
CommonMetadataStrings.lowerPrimary,Lower primary,"
-- CONTEXT --
Refers to a level of learning. Approximately corresponds to the first half of primary school.",
CommonMetadataStrings.lowerSecondary,Lower secondary,"
-- CONTEXT --
Refers to a level of learning. Approximately corresponds to the first half of secondary school (high school).",
CommonMetadataStrings.masteryMofN,Goal: {m} out of {n},"
-- CONTEXT --
One of the completion criteria types specific to exercises. An exercise with this criteria is considered complete when learners answered m questions out of n correctly.",
CommonMetadataStrings.mathematics,Mathematics,"
-- CONTEXT --
Category type. See https://en.wikipedia.org/wiki/Mathematics",
CommonMetadataStrings.mechanicalEngineering,Mechanical engineering,"
-- CONTEXT --
Category type. See https://en.wikipedia.org/wiki/Mechanical_engineering.",
CommonMetadataStrings.mediaLiteracy,Media literacy,"
-- CONTEXT --
Category type. See https://en.wikipedia.org/wiki/Media_literacy",
CommonMetadataStrings.mentalHealth,Mental health,"
-- CONTEXT --
Category type. See https://en.wikipedia.org/wiki/Mental_health",
CommonMetadataStrings.music,Music,"
-- CONTEXT --
Category type. See https://en.wikipedia.org/wiki/Music",
CommonMetadataStrings.needsInternet,Internet connection,"
-- CONTEXT --
Refers to a filter for resources.",
CommonMetadataStrings.needsMaterials,Other supplies,"
-- CONTEXT --
Refers to a filter for resources.
",
CommonMetadataStrings.numeracy,Numeracy,"
-- CONTEXT --
Category type. See https://en.wikipedia.org/wiki/Numeracy",
CommonMetadataStrings.peers,Working with peers,"
-- CONTEXT --
Refers to a filter for resources that require a learner to work with other learners to be used.",
CommonMetadataStrings.physics,Physics,"
-- CONTEXT --
Category type. See https://en.wikipedia.org/wiki/Physics.",
CommonMetadataStrings.politicalScience,Political science,"
-- CONTEXT --
Category type. See https://en.wikipedia.org/wiki/Political_science.",
CommonMetadataStrings.practice,Practice,"
-- CONTEXT --
Resource and filter label for the type of learning activity with questions and answers. Translate as a VERB",
CommonMetadataStrings.practiceQuiz,Practice quiz,"
-- CONTEXT --
One of the completion criteria types specific to exercises. An exercise with this criteria represents a quiz.",
CommonMetadataStrings.preschool,Preschool,"
-- CONTEXT --
Refers to a level of education offered to children before they begin compulsory education at primary school.

See https://en.wikipedia.org/wiki/Preschool",
CommonMetadataStrings.professionalSkills,Professional skills,"
-- CONTEXT --
Category type. Refers to skills that are related to a profession or a job.",
CommonMetadataStrings.programming,Programming,"
-- CONTEXT --
Category type. See https://en.wikipedia.org/wiki/Computer_programming",
CommonMetadataStrings.publicHealth,Public health,"
-- CONTEXT --
Category type. See https://en.wikipedia.org/wiki/Public_health.",
CommonMetadataStrings.read,Read,"
-- CONTEXT --
Resource and filter label for the type of learning activity with documents. Translate as a VERB",
CommonMetadataStrings.readReference,Reference,"
-- CONTEXT --
Label displayed for the 'Read' learning activity, used instead of the time duration information, to indicate a resource that may not need sequential reading from the beginning to the end. Similar concept as the 'reference' books in the traditional library, that the user just  'consults', and does not read from cover to cover.",
CommonMetadataStrings.readingAndWriting,Reading and writing,"
-- CONTEXT --
School subject category",
CommonMetadataStrings.readingComprehension,Reading comprehension,"
-- CONTEXT --
Category type.",
CommonMetadataStrings.reference,Reference material,"
-- CONTEXT --
One of the completion criteria types. Progress made on a resource with this criteria is not tracked.",
CommonMetadataStrings.reflect,Reflect,"
-- CONTEXT --
Resource and filter label for the type of learning activity. Translate as a VERB",
CommonMetadataStrings.school,School,"
-- CONTEXT --
Category type.",
CommonMetadataStrings.sciences,Sciences,"
-- CONTEXT --
Category type. See https://en.wikipedia.org/wiki/Science",
CommonMetadataStrings.shortActivity,Short activity,"
-- CONTEXT --
Label with time estimation for learning activities that take less than 30 minutes.",
CommonMetadataStrings.signLanguage,Includes sign language captions,"
-- CONTEXT --
https://en.wikipedia.org/wiki/Sign_language
https://en.wikipedia.org/wiki/List_of_sign_languages
Wherever communities of deaf people exist, sign languages have developed as useful means of communication, and they form the core of local Deaf cultures. Although signing is used primarily by the deaf and hard of hearing, it is also used by hearing individuals, such as those unable to physically speak, those who have trouble with spoken language due to a disability or condition (augmentative and alternative communication), or those with deaf family members, such as children of deaf adults. ",
CommonMetadataStrings.skillsTraining,Skills training,"
-- CONTEXT --
Subcategory type for technical and vocational training.",
CommonMetadataStrings.socialSciences,Social sciences,"
-- CONTEXT --
Category type. See https://en.wikipedia.org/wiki/Social_science",
CommonMetadataStrings.sociology,Sociology,"
-- CONTEXT --
Category type. See https://en.wikipedia.org/wiki/Sociology",
CommonMetadataStrings.softwareTools,Other software tools,"
-- CONTEXT --
Refers to a filter for resources that need additional software to be used.",
CommonMetadataStrings.softwareToolsAndTraining,Software tools and training,"
-- CONTEXT --
Subcategory type for technical and vocational training.",
CommonMetadataStrings.specializedProfessionalTraining,Specialized professional training,"
-- CONTEXT --
Level of education that refers to training for a profession (job).",
CommonMetadataStrings.statistics,Statistics,"
-- CONTEXT --
A math category. See https://en.wikipedia.org/wiki/Statistics",
CommonMetadataStrings.taggedPdf,Tagged PDF,"
-- CONTEXT --
A tagged PDF includes hidden accessibility markups (tags) that make the document accessible to those who use screen readers and other assistive technology (AT).

https://taggedpdf.com/what-is-a-tagged-pdf/",
CommonMetadataStrings.teacher,Working with a teacher,"
-- CONTEXT --
Refers to a filter for resources that require a learner to work with a teacher to be used.",
CommonMetadataStrings.technicalAndVocationalTraining,Technical and vocational training,"
-- CONTEXT --
A level of education. See https://en.wikipedia.org/wiki/TVET_(Technical_and_Vocational_Education_and_Training)",
CommonMetadataStrings.tertiary,Tertiary,"
-- CONTEXT --
A level of education. See https://en.wikipedia.org/wiki/Tertiary_education",
CommonMetadataStrings.toUseWithPaperAndPencil,Paper and pencil,"
-- CONTEXT --
Refers to a filter for resources.
",
CommonMetadataStrings.topicLabel,Folder,"
-- CONTEXT --
A collection of resources and other subfolders within a channel. Nested folders allow a channel to be organized as a tree or hierarchy.",
CommonMetadataStrings.upperPrimary,Upper primary,"
-- CONTEXT --
Refers to a level of education. Approximately corresponds to the second half of primary school.
",
CommonMetadataStrings.upperSecondary,Upper secondary,"
-- CONTEXT --
Refers to a level of education. Approximately corresponds to the second half of secondary school.",
CommonMetadataStrings.visualArt,Visual art,"
-- CONTEXT --
Category type. See https://en.wikipedia.org/wiki/Visual_arts",
CommonMetadataStrings.watch,Watch,"
-- CONTEXT --
Resource and filter label for the type of learning activity with video. Translate as a VERB",
CommonMetadataStrings.webDesign,Web design,"
-- CONTEXT --
Category type. See https://en.wikipedia.org/wiki/Web_design",
CommonMetadataStrings.work,Work,"
-- CONTEXT --
Top level category group that contains resources for acquisition of professional skills.",
CommonMetadataStrings.writing,Writing,"
-- CONTEXT --
Category type. See https://en.wikipedia.org/wiki/Writing",
CommunityStandardsModal.communityStandardsHeader,Community Standards,"
-- CONTEXT --
",
CommunityStandardsModal.coreValuesLink,Learn more about Learning Equality's core values,"
-- CONTEXT --
",
CommunityStandardsModal.description,"Learning Equality is a nonprofit organization dedicated to enabling equitable access to quality educational experiences. Along with our statement of Core Values, these Community Standards are intended to foster a supportive and inclusive environment for our users.","
-- CONTEXT --
",
CommunityStandardsModal.libraryDescription,"The Kolibri Library is both a grassroots and curated effort to provide a wide variety of materials for all learners and learning purposes. To help us achieve these goals, we invite you to use Kolibri Studio in ways that:","
-- CONTEXT --
",
CommunityStandardsModal.libraryItem1,"Model good practices in open sharing and respect copyright. Create an ethical sharing community by labeling licenses, making sure you know the appropriate licenses for what you upload, and ensuring that appropriate written permissions are documented if needed. Studio is primarily designed to host materials which are openly licensed or come with special permissions for re-distribution and reproduction.","
-- CONTEXT --
",
CommunityStandardsModal.libraryItem2,"Keep materials clear, organized, and usable. We welcome resources created at all levels of production! To help them reach as many learners as possible, we invite you to fully utilize all metadata fields and aim for quality in comprehensibility, legibility, or digitization such that the content is usable and understandable.","
-- CONTEXT --
",
CommunityStandardsModal.libraryItem3,"Respect the community. Avoid obscenity and vulgarity, beyond specific educational purposes they might serve in some contexts. Hate speech of any kind, or promotion of violence or discrimination, will never be tolerated.","
-- CONTEXT --
",
CommunityStandardsModal.libraryItem4,"Kolibri Studio is for educational purposes only. It is not intended to be used for non-educational purposes such as recruitment, indoctrination, advertisement, file sharing, or personal media hosting.","
-- CONTEXT --
",
CommunityStandardsModal.studioDescription,"Kolibri Studio gives you access to the Kolibri Library, a growing library of educational materials, which we encourage you to use as your own. We built Kolibri Studio to help you prepare educational materials in a variety of ways, including but not limited to:","
-- CONTEXT --
",
CommunityStandardsModal.studioItem1,"Browsing. Selecting appropriate educational materials for your situation from the Kolibri Library, the listing of sources available on the public channels page in Kolibri Studio","
-- CONTEXT --
",
CommunityStandardsModal.studioItem2,"Curating. Reorganizing the materials in these channels by selecting, deleting, and reordering appropriate items","
-- CONTEXT --
",
CommunityStandardsModal.studioItem3,"Sharing. Creating and publishing new channels with what you find, either to share with your own implementations privately or to share with others on Kolibri Studio.","
-- CONTEXT --
",
CommunityStandardsModal.studioItem4,Modifying & Creating. Adding your own assessment exercises to any existing materials,"
-- CONTEXT --
",
CommunityStandardsModal.studioItem5,Hosting. Uploading your own materials (limited to materials you know are appropriately licensed to do so) from a local hard drive or other locations on the internet,"
-- CONTEXT --
",
CompletionOptions.learnersCanMarkComplete,Allow learners to mark as complete,"
-- CONTEXT --
",
CompletionOptions.referenceHint,Progress will not be tracked on reference material unless learners mark it as complete,"
-- CONTEXT --
",
ConstantStrings.All Rights Reserved,All Rights Reserved,"
-- CONTEXT --
",
ConstantStrings.All Rights Reserved_description,"The All Rights Reserved License indicates that the copyright holder reserves, or holds for their own use, all the rights provided by copyright law under one specific copyright treaty.","
-- CONTEXT --
",
ConstantStrings.CC BY,CC BY,"
-- CONTEXT --
",
ConstantStrings.CC BY-NC,CC BY-NC,"
-- CONTEXT --
",
ConstantStrings.CC BY-NC-ND,CC BY-NC-ND,"
-- CONTEXT --
",
ConstantStrings.CC BY-NC-ND_description,"The Attribution-NonCommercial-NoDerivs License is the most restrictive of our six main licenses, only allowing others to download your works and share them with others as long as they credit you, but they can't change them in any way or use them commercially.","
-- CONTEXT --
",
ConstantStrings.CC BY-NC-SA,CC BY-NC-SA,"
-- CONTEXT --
",
ConstantStrings.CC BY-NC-SA_description,"The Attribution-NonCommercial-ShareAlike License lets others remix, tweak, and build upon your work non-commercially, as long as they credit you and license their new creations under the identical terms.","
-- CONTEXT --
",
ConstantStrings.CC BY-NC_description,"The Attribution-NonCommercial License lets others remix, tweak, and build upon your work non-commercially, and although their new works must also acknowledge you and be non-commercial, they don't have to license their derivative works on the same terms.","
-- CONTEXT --
",
ConstantStrings.CC BY-ND,CC BY-ND,"
-- CONTEXT --
",
ConstantStrings.CC BY-ND_description,"The Attribution-NoDerivs License allows for redistribution, commercial and non-commercial, as long as it is passed along unchanged and in whole, with credit to you.","
-- CONTEXT --
",
ConstantStrings.CC BY-SA,CC BY-SA,"
-- CONTEXT --
",
ConstantStrings.CC BY-SA_description,"The Attribution-ShareAlike License lets others remix, tweak, and build upon your work even for commercial purposes, as long as they credit you and license their new creations under the identical terms. This license is often compared to ""copyleft"" free and open source software licenses. All new works based on yours will carry the same license, so any derivatives will also allow commercial use. This is the license used by Wikipedia, and is recommended for materials that would benefit from incorporating content from Wikipedia and similarly licensed projects.","
-- CONTEXT --
",
ConstantStrings.CC BY_description,"The Attribution License lets others distribute, remix, tweak, and build upon your work, even commercially, as long as they credit you for the original creation. This is the most accommodating of licenses offered. Recommended for maximum dissemination and use of licensed materials.","
-- CONTEXT --
",
ConstantStrings.Public Domain,Public Domain,"
-- CONTEXT --
",
ConstantStrings.Public Domain_description,"Public Domain work has been identified as being free of known restrictions under copyright law, including all related and neighboring rights.","
-- CONTEXT --
",
ConstantStrings.Special Permissions,Special Permissions,"
-- CONTEXT --
",
