Identifier,Source String,Context,Translation
ConstantStrings.Special Permissions_description,Special Permissions is a custom license to use when the current licenses do not apply to the content. The owner of this license is responsible for creating a description of what this license entails.,"
-- CONTEXT --
",
ConstantStrings.audio,Audio,"
-- CONTEXT --
",
ConstantStrings.audio_thumbnail,Thumbnail,"
-- CONTEXT --
",
ConstantStrings.bookmark,Starred,"
-- CONTEXT --
",
ConstantStrings.coach,Coaches,"
-- CONTEXT --
",
ConstantStrings.do_all,Goal: 100% correct,"
-- CONTEXT --
",
ConstantStrings.do_all_description,Learner must answer all questions in the exercise correctly (not recommended for long exercises),"
-- CONTEXT --
",
ConstantStrings.document,Document,"
-- CONTEXT --
",
ConstantStrings.document_thumbnail,Thumbnail,"
-- CONTEXT --
",
ConstantStrings.edit,My channels,"
-- CONTEXT --
",
ConstantStrings.epub,EPub document,"
-- CONTEXT --
",
ConstantStrings.exercise,Exercise,"
-- CONTEXT --
",
ConstantStrings.exercise_thumbnail,Thumbnail,"
-- CONTEXT --
",
ConstantStrings.firstCopy,Copy of {title},"
-- CONTEXT --
",
ConstantStrings.gif,GIF image,"
-- CONTEXT --
",
ConstantStrings.h5p,H5P App,"
-- CONTEXT --
",
ConstantStrings.high_res_video,High resolution,"
-- CONTEXT --
",
ConstantStrings.html5,HTML5 App,"
-- CONTEXT --
",
ConstantStrings.html5_thumbnail,Thumbnail,"
-- CONTEXT --
",
ConstantStrings.html5_zip,HTML5 zip,"
-- CONTEXT --
",
ConstantStrings.input_question,Numeric input,"
-- CONTEXT --
",
ConstantStrings.jpeg,JPEG image,"
-- CONTEXT --
",
ConstantStrings.jpg,JPG image,"
-- CONTEXT --
",
ConstantStrings.json,JSON,"
-- CONTEXT --
",
ConstantStrings.learner,Anyone,"
-- CONTEXT --
",
ConstantStrings.low_res_video,Low resolution,"
-- CONTEXT --
",
ConstantStrings.m_of_n,M of N...,"
-- CONTEXT --
",
ConstantStrings.m_of_n_description,"Learner must answer M questions correctly from the last N answered questions. For example, ‘3 of 5’ means learners must answer 3 questions correctly out of the 5 most recently answered.","
-- CONTEXT --
",
ConstantStrings.mp3,MP3 audio,"
-- CONTEXT --
",
ConstantStrings.mp4,MP4 video,"
-- CONTEXT --
",
ConstantStrings.multiple_selection,Multiple choice,"
-- CONTEXT --
",
ConstantStrings.nthCopy,"Copy {n, number, integer} of {title}","
-- CONTEXT --
",
ConstantStrings.num_correct_in_a_row_10,Goal: 10 in a row,"
-- CONTEXT --
",
ConstantStrings.num_correct_in_a_row_10_description,Learner must answer 10 questions in a row correctly,"
-- CONTEXT --
",
ConstantStrings.num_correct_in_a_row_2,Goal: 2 in a row,"
-- CONTEXT --
",
ConstantStrings.num_correct_in_a_row_2_description,Learner must answer 2 questions in a row correctly,"
-- CONTEXT --
",
ConstantStrings.num_correct_in_a_row_3,Goal: 3 in a row,"
-- CONTEXT --
",
ConstantStrings.num_correct_in_a_row_3_description,Learner must answer 3 questions in a row correctly,"
-- CONTEXT --
",
ConstantStrings.num_correct_in_a_row_5,Goal: 5 in a row,"
-- CONTEXT --
",
ConstantStrings.num_correct_in_a_row_5_description,Learner must answer 5 questions in a row correctly,"
-- CONTEXT --
",
ConstantStrings.pdf,PDF document,"
-- CONTEXT --
",
ConstantStrings.perseus,Perseus Exercise,"
-- CONTEXT --
",
ConstantStrings.perseus_question,Khan Academy question,"
-- CONTEXT --
",
ConstantStrings.png,PNG image,"
-- CONTEXT --
",
ConstantStrings.public,Content library,"
-- CONTEXT --
",
ConstantStrings.single_selection,Single choice,"
-- CONTEXT --
",
ConstantStrings.slideshow,Slideshow,"
-- CONTEXT --
",
ConstantStrings.svg,SVG image,"
-- CONTEXT --
",
ConstantStrings.topic,Folder,"
-- CONTEXT --
",
ConstantStrings.topic_thumbnail,Thumbnail,"
-- CONTEXT --
",
ConstantStrings.true_false,True/False,"
-- CONTEXT --
",
ConstantStrings.unknown_question,Unknown question type,"
-- CONTEXT --
",
ConstantStrings.video,Video,"
-- CONTEXT --
",
ConstantStrings.video_subtitle,Captions,"
-- CONTEXT --
",
ConstantStrings.video_thumbnail,Thumbnail,"
-- CONTEXT --
",
ConstantStrings.view,View-only,"
-- CONTEXT --
",
ConstantStrings.vtt,VTT caption,"
-- CONTEXT --
",
ConstantStrings.webm,WEBM video,"
-- CONTEXT --
",
ConstantStrings.zip,HTML5 zip,"
-- CONTEXT --
",
ContentDefaults.aggregator,Aggregator,"
-- CONTEXT --
",
ContentDefaults.author,Author,"
-- CONTEXT --
",
ContentDefaults.copyrightHolder,Copyright holder,"
-- CONTEXT --
",
ContentDefaults.defaultsSubTitle,New resources will be automatically given these values,"
-- CONTEXT --
",
ContentDefaults.defaultsTitle,Default copyright settings for new resources (optional),"
-- CONTEXT --
",
ContentDefaults.documents,Documents,"
-- CONTEXT --
",
ContentDefaults.html5,HTML5 apps,"
-- CONTEXT --
",
ContentDefaults.license,License,"
-- CONTEXT --
",
ContentDefaults.licenseDescription,License description,"
-- CONTEXT --
",
ContentDefaults.noLicense,No license selected,"
-- CONTEXT --
",
ContentDefaults.provider,Provider,"
-- CONTEXT --
",
ContentDefaults.thumbnailsTitle,Automatically generate thumbnails for the following resource types,"
-- CONTEXT --
",
ContentDefaults.videos,Videos,"
-- CONTEXT --
",
ContentNodeChangedIcon.containsNew,Contains unpublished resources,"
-- CONTEXT --
",
ContentNodeChangedIcon.containsNewAndUpdated,Contains unpublished resources and changes,"
-- CONTEXT --
",
ContentNodeChangedIcon.containsUpdated,Contains unpublished changes,"
-- CONTEXT --
",
ContentNodeChangedIcon.isNewResource,Unpublished,"
-- CONTEXT --
",
ContentNodeChangedIcon.isNewTopic,Unpublished folder,"
-- CONTEXT --
",
ContentNodeChangedIcon.isUpdatedResource,Updated since last publish,"
-- CONTEXT --
",
ContentNodeChangedIcon.isUpdatedTopic,Folder has been updated since last publish,"
-- CONTEXT --
",
ContentNodeCopyTaskProgress.copyErrorTopic,Some resources failed to copy,"
-- CONTEXT --
",
ContentNodeEditListItem.copiedSnackbar,Copy operation complete,"
-- CONTEXT --
",
ContentNodeEditListItem.creatingCopies,Copying...,"
-- CONTEXT --
",
ContentNodeEditListItem.optionsTooltip,Options,"
-- CONTEXT --
",
ContentNodeEditListItem.removeNode,Remove,"
-- CONTEXT --
",
ContentNodeEditListItem.retryCopy,Retry,"
-- CONTEXT --
",
ContentNodeEditListItem.undo,Undo,"
-- CONTEXT --
",
ContentNodeIcon.audio,Audio,"
-- CONTEXT --
",
ContentNodeIcon.document,Document,"
-- CONTEXT --
",
ContentNodeIcon.exercise,Exercise,"
-- CONTEXT --
",
ContentNodeIcon.html5,HTML5 App,"
-- CONTEXT --
",
ContentNodeIcon.slideshow,Slideshow,"
-- CONTEXT --
",
ContentNodeIcon.topic,Folder,"
-- CONTEXT --
",
ContentNodeIcon.unsupported,Unsupported,"
-- CONTEXT --
",
ContentNodeIcon.video,Video,"
-- CONTEXT --
",
ContentNodeLearningActivityIcon.multipleLearningActivities,Multiple learning activities,"
-- CONTEXT --
",
ContentNodeListItem.coachTooltip,Resource for coaches,"
-- CONTEXT --
",
ContentNodeListItem.copyingError,Copy failed.,"
-- CONTEXT --
",
ContentNodeListItem.copyingTask,Copying,"
-- CONTEXT --
",
ContentNodeListItem.hasCoachTooltip,"{value, number, integer} {value, plural, one {resource for coaches} other {resources for coaches}}","
-- CONTEXT --
",
ContentNodeListItem.openTopic,Open folder,"
-- CONTEXT --
",
ContentNodeListItem.questions,"{value, number, integer} {value, plural, one {question} other {questions}}","
-- CONTEXT --
",
ContentNodeListItem.resources,"{value, number, integer} {value, plural, one {resource} other {resources}}","
-- CONTEXT --
",
ContentNodeOptions.copiedItemsToClipboard,Copied in clipboard,"
-- CONTEXT --
",
ContentNodeOptions.copiedSnackbar,Copy operation complete,"
-- CONTEXT --
",
ContentNodeOptions.copiedToClipboardSnackbar,Copied to clipboard,"
-- CONTEXT --
",
ContentNodeOptions.copyToClipboard,Copy to clipboard,"
-- CONTEXT --
",
ContentNodeOptions.creatingCopies,Copying...,"
-- CONTEXT --
",
ContentNodeOptions.editDetails,Edit details,"
-- CONTEXT --
",
ContentNodeOptions.editTopicDetails,Edit folder details,"
-- CONTEXT --
",
ContentNodeOptions.goToOriginalLocation,Go to original location,"
-- CONTEXT --
",
ContentNodeOptions.makeACopy,Make a copy,"
-- CONTEXT --
",
ContentNodeOptions.move,Move,"
-- CONTEXT --
",
ContentNodeOptions.moveTo,Move to...,"
-- CONTEXT --
",
ContentNodeOptions.newSubtopic,New folder,"
-- CONTEXT --
",
ContentNodeOptions.remove,Delete,"
-- CONTEXT --
",
ContentNodeOptions.removedFromClipboard,Deleted from clipboard,"
-- CONTEXT --
",
ContentNodeOptions.removedItems,Sent to trash,"
-- CONTEXT --
",
ContentNodeOptions.undo,Undo,"
-- CONTEXT --
",
ContentNodeOptions.viewDetails,View details,"
-- CONTEXT --
",
ContentNodeStrings.untitled,Untitled,"
-- CONTEXT --
",
ContentNodeThumbnail.cancel,Cancel,"
-- CONTEXT --
",
ContentNodeThumbnail.crop,Crop,"
-- CONTEXT --
",
ContentNodeThumbnail.croppingPrompt,Drag image to reframe,"
-- CONTEXT --
",
ContentNodeThumbnail.defaultFilename,File,"
-- CONTEXT --
",
ContentNodeThumbnail.generate,Generate from file,"
-- CONTEXT --
",
ContentNodeThumbnail.generatingThumbnail,Generating from file,"
-- CONTEXT --
",
ContentNodeThumbnail.noThumbnail,No thumbnail,"
-- CONTEXT --
",
ContentNodeThumbnail.remove,Remove,"
-- CONTEXT --
",
ContentNodeThumbnail.retryUpload,Retry upload,"
-- CONTEXT --
",
ContentNodeThumbnail.save,Save,"
-- CONTEXT --
",
ContentNodeThumbnail.upload,Upload image,"
-- CONTEXT --
",
ContentNodeThumbnail.uploadFailed,Upload failed,"
-- CONTEXT --
",
ContentNodeThumbnail.uploadingThumbnail,Uploading,"
-- CONTEXT --
",
ContentNodeThumbnail.zoomIn,Zoom in,"
-- CONTEXT --
",
ContentNodeThumbnail.zoomOut,Zoom out,"
-- CONTEXT --
",
ContentNodeValidator.allIncompleteDescendantsText,"{count, plural, one {{count, number, integer} resource is incomplete and cannot be published} other {All {count, number, integer} resources are incomplete and cannot be published}}","
-- CONTEXT --
",
ContentNodeValidator.incompleteDescendantsText,"{count, number, integer} {count, plural, one {resource is incomplete} other {resources are incomplete}}","
-- CONTEXT --
",
ContentNodeValidator.incompleteText,Incomplete,"
-- CONTEXT --
",
ContentNodeValidator.missingTitle,Missing title,"
-- CONTEXT --
",
ContentRenderer.noFileText,Select a file to preview,"
-- CONTEXT --
",
ContentRenderer.previewNotSupported,Preview unavailable,"
-- CONTEXT --
",
ContentTreeList.allChannelsLabel,Channels,"
-- CONTEXT --
",
ContentTreeList.noResourcesOrTopics,There are no resources or folders here,"
-- CONTEXT --
",
ContentTreeList.selectAllAction,Select all,"
-- CONTEXT --
",
CopyToken.copiedTokenId,Token copied,"
-- CONTEXT --
",
CopyToken.copyFailed,Copy failed,"
-- CONTEXT --
",
CopyToken.copyPrompt,Copy token to import channel into Kolibri,"
-- CONTEXT --
",
CountryField.locationLabel,Select all that apply,"
-- CONTEXT --
",
CountryField.locationRequiredMessage,Field is required,"
-- CONTEXT --
",
CountryField.noCountriesFound,No countries found,"
-- CONTEXT --
",
Create.ToSRequiredMessage,Please accept our terms of service and policy,"
-- CONTEXT --
",
Create.agreement,I have read and agree to terms of service and the privacy policy,"
-- CONTEXT --
",
Create.backToLoginButton,Sign in,"
-- CONTEXT --
",
Create.basicInformationHeader,Basic information,"
-- CONTEXT --
",
Create.conferenceSourceOption,Conference,"
-- CONTEXT --
",
Create.conferenceSourcePlaceholder,Name of conference,"
-- CONTEXT --
",
Create.confirmPasswordLabel,Confirm password,"
-- CONTEXT --
",
Create.contactMessage,Questions or concerns? Please email us at content@learningequality.org,"
-- CONTEXT --
",
Create.conversationSourceOption,Conversation with Learning Equality,"
-- CONTEXT --
",
Create.createAnAccountTitle,Create an account,"
-- CONTEXT --
",
Create.creatingExercisesUsageOption,Creating exercises,"
-- CONTEXT --
",
Create.emailExistsMessage,An account with this email already exists,"
-- CONTEXT --
",
Create.errorsMessage,Please fix the errors below,"
-- CONTEXT --
",
Create.fieldRequiredMessage,Field is required,"
-- CONTEXT --
",
Create.findingUsageOption,Finding and adding additional content sources,"
-- CONTEXT --
",
Create.finishButton,Finish,"
-- CONTEXT --
",
Create.firstNameLabel,First name,"
-- CONTEXT --
",
Create.forumSourceOption,Learning Equality community forum,"
-- CONTEXT --
",
Create.githubSourceOption,Learning Equality GitHub,"
-- CONTEXT --
",
Create.lastNameLabel,Last name,"
-- CONTEXT --
",
Create.locationLabel,Where do you plan to use Kolibri Studio? (check all that apply),"
-- CONTEXT --
",
Create.newsletterSourceOption,Learning Equality newsletter,"
-- CONTEXT --
",
Create.organizationSourceOption,Organization,"
-- CONTEXT --
",
Create.organizationSourcePlaceholder,Name of organization,"
-- CONTEXT --
",
Create.organizingUsageOption,Organizing or aligning existing materials,"
-- CONTEXT --
",
Create.otherSourceOption,Other,"
-- CONTEXT --
",
Create.otherSourcePlaceholder,Please describe,"
-- CONTEXT --
",
Create.otherUsageOption,Other,"
-- CONTEXT --
",
Create.otherUsagePlaceholder,Please describe,"
-- CONTEXT --
",
Create.passwordLabel,Password,"
-- CONTEXT --
",
Create.passwordMatchMessage,Passwords don't match,"
-- CONTEXT --
",
Create.personalDemoSourceOption,Personal demo,"
-- CONTEXT --
",
Create.registrationFailed,There was an error registering your account. Please try again,"
-- CONTEXT --
",
Create.registrationFailedOffline,You seem to be offline. Please connect to the internet to create an account.,"
-- CONTEXT --
",
Create.sequencingUsageOption,Using prerequisites to put materials in a sequence,"
-- CONTEXT --
",
Create.sharingUsageOption,Sharing materials publicly,"
-- CONTEXT --
",
Create.socialMediaSourceOption,Social media,"
-- CONTEXT --
",
Create.sourceLabel,How did you hear about us?,"
-- CONTEXT --
",
Create.sourcePlaceholder,Select one,"
-- CONTEXT --
",
Create.storingUsageExample,e.g. 500MB,"
-- CONTEXT --
",
Create.storingUsageOption,Storing materials for private or local use,"
-- CONTEXT --
",
Create.storingUsagePlaceholder,How much storage do you need?,"
-- CONTEXT --
",
Create.taggingUsageOption,Tagging content sources for discovery,"
-- CONTEXT --
",
Create.usageLabel,How do you plan on using Kolibri Studio (check all that apply),"
-- CONTEXT --
",
Create.viewPrivacyPolicyLink,View Privacy Policy,"
-- CONTEXT --
",
Create.viewToSLink,View Terms of Service,"
-- CONTEXT --
",
Create.websiteSourceOption,Learning Equality website,"
-- CONTEXT --
",
CurrentTopicView.COMFORTABLE_VIEW,Comfortable view,"
-- CONTEXT --
",
CurrentTopicView.COMPACT_VIEW,Compact view,"
-- CONTEXT --
",
CurrentTopicView.DEFAULT_VIEW,Default view,"
-- CONTEXT --
",
CurrentTopicView.addButton,Add,"
-- CONTEXT --
",
CurrentTopicView.addExercise,New exercise,"
-- CONTEXT --
",
CurrentTopicView.addTopic,New folder,"
-- CONTEXT --
",
CurrentTopicView.copiedItems,Copy operation complete,"
-- CONTEXT --
",
CurrentTopicView.copiedItemsToClipboard,Copied to clipboard,"
-- CONTEXT --
",
CurrentTopicView.copySelectedButton,Copy to clipboard,"
-- CONTEXT --
",
CurrentTopicView.copyToClipboardButton,Copy to clipboard,"
-- CONTEXT --
",
CurrentTopicView.creatingCopies,Copying...,"
-- CONTEXT --
",
CurrentTopicView.deleteSelectedButton,Delete,"
-- CONTEXT --
",
CurrentTopicView.duplicateSelectedButton,Make a copy,"
-- CONTEXT --
",
CurrentTopicView.editButton,Edit,"
-- CONTEXT --
",
CurrentTopicView.editSelectedButton,Edit,"
-- CONTEXT --
",
CurrentTopicView.importFromChannels,Import from channels,"
-- CONTEXT --
",
CurrentTopicView.moveSelectedButton,Move,"
-- CONTEXT --
",
CurrentTopicView.optionsButton,Options,"
-- CONTEXT --
",
CurrentTopicView.removedItems,Sent to trash,"
-- CONTEXT --
",
CurrentTopicView.selectAllLabel,Select all,"
-- CONTEXT --
",
CurrentTopicView.selectionCount,"{topicCount, plural,
 =1 {# folder}
 other {# folders}}, {resourceCount, plural,
 =1 {# resource}
 other {# resources}}","
-- CONTEXT --
",
CurrentTopicView.undo,Undo,"
-- CONTEXT --
",
CurrentTopicView.uploadFiles,Upload files,"
-- CONTEXT --
",
CurrentTopicView.viewModeTooltip,View,"
-- CONTEXT --
",
DeleteAccountForm.cancelButton,Cancel,"
-- CONTEXT --
",
DeleteAccountForm.deleteAccountConfirmationPrompt,Are you sure you want to permanently delete your account? This cannot be undone,"
-- CONTEXT --
",
DeleteAccountForm.deleteAccountEnterEmail,Enter your email address to continue,"
-- CONTEXT --
",
DeleteAccountForm.deleteAccountLabel,Delete account,"
-- CONTEXT --
",
DeleteAccountForm.deletionFailed,Failed to delete account,"
-- CONTEXT --
",
DeleteAccountForm.deletionFailedText,Failed to delete your account. Please contact us here: https://community.learningequality.org.,"
-- CONTEXT --
",
DeleteAccountForm.emailAddressLabel,Email address,"
-- CONTEXT --
",
DeleteAccountForm.emailInvalidText,Email does not match your account email,"
-- CONTEXT --
",
DeleteAccountForm.fieldRequired,Field is required,"
-- CONTEXT --
",
Details.AVERAGE,Average,"
-- CONTEXT --
",
Details.LARGE,Large,"
-- CONTEXT --
",
Details.SMALL,Small,"
-- CONTEXT --
",
Details.VERY_LARGE,Very large,"
-- CONTEXT --
",
Details.VERY_SMALL,Very small,"
-- CONTEXT --
",
Details.aggregatorToolTip,Website or organization hosting the content collection but not necessarily the creator or copyright holder,"
-- CONTEXT --
",
Details.aggregatorsLabel,Aggregators,"
-- CONTEXT --
",
Details.assessmentsIncludedText,Assessments,"
-- CONTEXT --
",
Details.authorToolTip,Person or organization who created this content,"
-- CONTEXT --
",
Details.authorsLabel,Authors,"
-- CONTEXT --
",
Details.categoriesHeading,Categories,"
-- CONTEXT --
",
Details.coachDescription,Resources for coaches are only visible to coaches in Kolibri,"
-- CONTEXT --
",
Details.coachHeading,Resources for coaches,"
-- CONTEXT --
",
Details.containsContentHeading,Contains content from,"
-- CONTEXT --
",
Details.containsHeading,Contains,"
-- CONTEXT --
",
Details.copyrightHoldersLabel,Copyright holders,"
-- CONTEXT --
",
Details.creationHeading,Created on,"
-- CONTEXT --
",
Details.currentVersionHeading,Published version,"
-- CONTEXT --
",
Details.languagesHeading,Languages,"
-- CONTEXT --
",
Details.levelsHeading,Levels,"
-- CONTEXT --
",
Details.licensesLabel,Licenses,"
-- CONTEXT --
",
Details.primaryLanguageHeading,Primary language,"
-- CONTEXT --
",
Details.providerToolTip,Organization that commissioned or is distributing the content,"
-- CONTEXT --
",
Details.providersLabel,Providers,"
-- CONTEXT --
",
Details.publishedHeading,Published on,"
-- CONTEXT --
",
Details.resourceHeading,Total resources,"
-- CONTEXT --
",
Details.sampleFromChannelHeading,Sample content from this channel,"
-- CONTEXT --
",
Details.sampleFromTopicHeading,Sample content from this topic,"
-- CONTEXT --
",
Details.sizeHeading,Channel size,"
-- CONTEXT --
",
Details.sizeText,{text} ({size}),"
-- CONTEXT --
",
Details.subtitlesHeading,Captions and subtitles,"
-- CONTEXT --
",
Details.tagsHeading,Common tags,"
-- CONTEXT --
",
Details.tokenHeading,Channel token,"
-- CONTEXT --
",
Details.unpublishedText,Unpublished,"
-- CONTEXT --
",
DetailsTabView.aggregatorLabel,Aggregator,"
-- CONTEXT --
",
DetailsTabView.aggregatorToolTip,Website or org hosting the content collection but not necessarily the creator or copyright holder,"
-- CONTEXT --
",
DetailsTabView.assessmentOptionsLabel,Assessment options,"
-- CONTEXT --
",
DetailsTabView.audienceHeader,Audience,"
-- CONTEXT --
",
DetailsTabView.authorLabel,Author,"
-- CONTEXT --
",
DetailsTabView.authorToolTip,Person or organization who created this content,"
-- CONTEXT --
",
DetailsTabView.basicInfoHeader,Basic information,"
-- CONTEXT --
",
DetailsTabView.completionLabel,Completion,"
-- CONTEXT --
",
DetailsTabView.copyrightHolderLabel,Copyright holder,"
-- CONTEXT --
",
DetailsTabView.descriptionLabel,Description,"
-- CONTEXT --
",
DetailsTabView.detectedImportText,"{count, plural,
 =1 {# resource has view-only permission}
 other {# resources have view-only permission}}","
-- CONTEXT --
",
DetailsTabView.importedFromButtonText,Imported from {channel},"
-- CONTEXT --
",
DetailsTabView.languageChannelHelpText,Leave blank to use the channel language,"
-- CONTEXT --
",
DetailsTabView.languageHelpText,Leave blank to use the folder language,"
-- CONTEXT --
",
DetailsTabView.noTagsFoundText,"No results found for ""{text}"". Press 'Enter' key to create a new tag","
-- CONTEXT --
",
DetailsTabView.providerLabel,Provider,"
-- CONTEXT --
",
DetailsTabView.providerToolTip,Organization that commissioned or is distributing the content,"
-- CONTEXT --
",
DetailsTabView.randomizeQuestionLabel,Randomize question order for learners,"
-- CONTEXT --
",
DetailsTabView.sourceHeader,Source,"
-- CONTEXT --
",
DetailsTabView.tagsLabel,Tags,"
-- CONTEXT --
",
DetailsTabView.thumbnailHeader,Thumbnail,"
-- CONTEXT --
",
DetailsTabView.titleLabel,Title,"
-- CONTEXT --
",
Diff.negativeSign,-,"
-- CONTEXT --
",
Diff.positiveSign,+,"
-- CONTEXT --
",
DiffTable.headerDiff,Net changes,"
-- CONTEXT --
",
DiffTable.headerLive,Live,"
-- CONTEXT --
",
DiffTable.headerStaged,Staged,"
-- CONTEXT --
",
DiffTable.headerType,Type,"
-- CONTEXT --
",
DiffTable.typeAudios,Audios,"
-- CONTEXT --
",
DiffTable.typeDocuments,Documents,"
-- CONTEXT --
",
DiffTable.typeExercises,Exercises,"
-- CONTEXT --
",
DiffTable.typeFileSize,File size,"
-- CONTEXT --
",
DiffTable.typeHtml5Apps,HTML5 apps,"
-- CONTEXT --
",
DiffTable.typeSlideshows,Slideshows,"
-- CONTEXT --
",
DiffTable.typeTopics,Folders,"
-- CONTEXT --
",
DiffTable.typeVersion,API version,"
-- CONTEXT --
",
DiffTable.typeVideos,Videos,"
-- CONTEXT --
",
EditList.selectAllLabel,Select all,"
-- CONTEXT --
",
EditListItem.questionCount,"{count, plural,
 =1 {# question}
 other {# questions}}","
-- CONTEXT --
",
EditModal.addTopic,Add new folder,"
-- CONTEXT --
",
EditModal.addTopicsHeader,New folder,"
-- CONTEXT --
",
EditModal.cancelUploadsButton,Exit,"
-- CONTEXT --
",
EditModal.closeWithoutSavingButton,Close without saving,"
-- CONTEXT --
",
EditModal.createExerciseHeader,New exercise,"
-- CONTEXT --
",
EditModal.dismissDialogButton,Cancel,"
-- CONTEXT --
",
EditModal.editFilesHeader,Edit files,"
-- CONTEXT --
",
EditModal.editingDetailsHeader,Edit details,"
-- CONTEXT --
",
EditModal.finishButton,Finish,"
-- CONTEXT --
",
EditModal.invalidNodesFound,"{count, plural,
 =1 {# incomplete resource found}
 other {# incomplete resources found}}","
-- CONTEXT --
",
EditModal.invalidNodesFoundText,Incomplete resources will not be published until these errors are resolved,"
-- CONTEXT --
",
EditModal.keepEditingButton,Keep editing,"
-- CONTEXT --
",
EditModal.loadErrorText,Failed to load content,"
-- CONTEXT --
",
EditModal.okButton,OK,"
-- CONTEXT --
",
EditModal.saveAnywaysButton,Exit anyway,"
-- CONTEXT --
",
EditModal.saveFailedHeader,Save failed,"
-- CONTEXT --
",
EditModal.saveFailedText,There was a problem saving your content,"
-- CONTEXT --
",
EditModal.uploadButton,Upload more,"
-- CONTEXT --
",
EditModal.uploadFilesHeader,Upload files,"
-- CONTEXT --
",
EditModal.uploadInProgressHeader,Upload in progress,"
-- CONTEXT --
",
EditModal.uploadInProgressText,Uploads that are in progress will be lost if you exit,"
-- CONTEXT --
",
EditSearchModal.cancelAction,Cancel,"
-- CONTEXT --
",
EditSearchModal.changesSavedSnackbar,Changes saved,"
-- CONTEXT --
",
EditSearchModal.editSavedSearchTitle,Edit search title,"
-- CONTEXT --
",
EditSearchModal.fieldRequired,Field is required,"
-- CONTEXT --
",
EditSearchModal.saveChangesAction,Save,"
-- CONTEXT --
",
EditSearchModal.searchTitleLabel,Search title,"
-- CONTEXT --
",
EditView.details,Details,"
-- CONTEXT --
",
EditView.editingMultipleCount,"Editing details for {topicCount, plural,
 =1 {# folder}
 other {# folders}}, {resourceCount, plural,
 =1 {# resource}
 other {# resources}}","
-- CONTEXT --
",
EditView.errorBannerText,Please provide the required information,"
-- CONTEXT --
",
EditView.invalidFieldsToolTip,Some required information is missing,"
-- CONTEXT --
",
EditView.noItemsToEditText,Please select resources or folders to edit,"
-- CONTEXT --
",
EditView.preview,Preview,"
-- CONTEXT --
",
EditView.questions,Questions,"
-- CONTEXT --
",
EditView.related,Related,"
-- CONTEXT --
",
EmailField.emailLabel,Email,"
-- CONTEXT --
",
EmailField.emailRequiredMessage,Field is required,"
-- CONTEXT --
",
EmailField.validEmailMessage,Please enter a valid email,"
-- CONTEXT --
",
ExpandableList.less,Show less,"
-- CONTEXT --
",
ExpandableList.more,Show more ({more}),"
-- CONTEXT --
",
FilePreview.exitFullscreen,Exit fullscreen,"
-- CONTEXT --
",
FilePreview.fullscreenModeText,Fullscreen mode,"
-- CONTEXT --
",
FilePreview.viewFullscreen,View fullscreen,"
-- CONTEXT --
",
FileStatusText.selectFile,Select file,"
-- CONTEXT --
",
FileStorage.requestStorage,Request storage,"
-- CONTEXT --
",
FileStorage.storageFull,Storage limit reached,"
-- CONTEXT --
",
FileStorage.storageFullWithSize,Total storage limit reached: {used} of {total},"
-- CONTEXT --
",
FileStorage.storageLow,Storage is running low,"
-- CONTEXT --
",
FileStorage.storageLowWithSize,Total storage is running low: {used} of {total},"
-- CONTEXT --
",
FileStorage.storageUsed,Total storage used: {used} of {total},"
-- CONTEXT --
",
FileUpload.fileError,Unsupported file type,"
-- CONTEXT --
",
FileUpload.filesHeader,Preview files,"
-- CONTEXT --
",
FileUpload.noFileText,Missing files,"
-- CONTEXT --
",
FileUploadDefault.acceptsHelp,Supported file types: {extensions},"
-- CONTEXT --
",
FileUploadDefault.chooseFilesButton,Select files,"
-- CONTEXT --
",
FileUploadDefault.dropHereText,"Drag and drop your files here, or select your files manually","
-- CONTEXT --
",
FileUploadDefault.uploadToText,Upload to '{title}',"
-- CONTEXT --
",
FileUploadItem.removeFileButton,Remove,"
-- CONTEXT --
",
FileUploadItem.retryUpload,Retry upload,"
-- CONTEXT --
",
FileUploadItem.unknownFile,Unknown filename,"
-- CONTEXT --
",
FileUploadItem.uploadButton,Select file,"
-- CONTEXT --
",
FileUploadItem.uploadFailed,Upload failed,"
-- CONTEXT --
",
ForgotPassword.forgotPasswordFailed,Failed to send a password reset link. Please try again.,"
-- CONTEXT --
",
ForgotPassword.forgotPasswordPrompt,Please enter your email address to receive instructions for resetting your password,"
-- CONTEXT --
",
ForgotPassword.forgotPasswordTitle,Reset your password,"
-- CONTEXT --
",
ForgotPassword.submitButton,Submit,"
-- CONTEXT --
",
FormulasMenu.btnLabelInsert,Insert,"
-- CONTEXT --
",
FormulasMenu.formulasMenuTitle,Special characters,"
-- CONTEXT --
",
FullNameForm.cancelAction,Cancel,"
-- CONTEXT --
",
FullNameForm.changesSavedMessage,Changes saved,"
-- CONTEXT --
",
FullNameForm.editNameHeader,Edit full name,"
-- CONTEXT --
",
FullNameForm.failedToSaveMessage,Failed to save changes,"
-- CONTEXT --
",
FullNameForm.fieldRequired,Field is required,"
-- CONTEXT --
",
FullNameForm.firstNameLabel,First name,"
-- CONTEXT --
",
FullNameForm.lastNameLabel,Last name,"
-- CONTEXT --
",
FullNameForm.saveChangesAction,Save changes,"
-- CONTEXT --
",
GenericError.backToHomeAction,Back to home,"
-- CONTEXT --
",
GenericError.genericErrorDetails,Try refreshing this page or going back to the home page,"
-- CONTEXT --
",
